variable,Description
x, x-coordinate of current nodal position
y, y-coordinate of current nodal position
z, z-coordinate of current nodal position
ux, x-coordinate of nodal displacement
uy, y-coordinate of nodal displacement
uz, z-coordinate of nodal displacement
vx, x-coordinate of nodal velocity
vy, y-coordinate of nodal velocity
vz, z-coordinate of nodal velocity
ax, x-coordinate of nodal acceleration
ay, y-coordinate of nodal acceleration
az, z-coordinate of nodal acceleration
Rx, x-coordinate of nodal reaction force
Ry, y-coordinate of nodal reaction force
Rz, z-coordinate of nodal reaction force
p,effective fluid pressure
vx,x-component of solid velocity
vy,y-component of solid velocity
vz,z-component of solid velocity
nfvx,x-component of fluid velocity
nfvy,y-component of fluid velocity
nfvz,z-component of fluid velocity
contact gap,The gap (separation) of the contact interface this surface belongs to
contact pressure,The normal contact pressure of the contact interface this surface belongs to
contact_traction.x,The x-component of the contact traction on the face
contact_traction.y,The y-component of the contact traction on the face
contact_traction.z,The z-component of the contact traction on the face
x,x-coordinate of current element centroid position
y,y-coordinate of current element centroid position
z,z-coordinate of current element centroid position
sx,xx-component of the Cauchy stress
sy,yy-component of the Cauchy stress
sz,zz-component of the Cauchy stress
sxy,xy-component of the Cauchy stress
syz,yz-component of the Cauchy stress
sxz,xz-component of the Cauchy stress
s1,first eigenvalue of Cauchy stress tensor
s2,second eigenvalue of Cauchy stress tensor
s3,third eigenvalue of Cauchy stress tensor
Ex,xx-component of the Green-Lagrange strain
Ey,yy-component of the Green-Lagrange strain
Ez,zz-component of the Green-Lagrange strain
Exy,xy-component of the Green-Lagrange strain
Eyz,yz-component of the Green-Lagrange strain
Exz,xz-component of the Green-Lagrange strain
E1,first eigenvalue of Green-Lagrange strain tensor
E2,second eigenvalue of Green-Lagrange strain tensor
E3,third eigenvalue of Green-Lagrange strain tensor
ex,xx-component of the infinitesimal strain
ey,yy-component of the infinitesimal strain
ez,zz-component of the infinitesimal strain
exy,xy-component of the infinitesimal strain
eyz,yz-component of the infinitesimal strain
exz,xz-component of the infinitesimal strain
Ux,xx-component of the right stretch tensor
Uy,yy-component of the right stretch tensor
