variable,description
acceleration,Average element accelerations
Almansi strain,Almansi strain tensor
concentration gap,The concentration gap across a biphasic contact interface. 
contact area,Net contact area across contact interface. Evaluated by integrating the surface area at integration points where the contact pressure is not zero.
contact force,Net contact force across contact interface. Evaluated by integrating the contact traction over the contact surface.
contact gap,"Contact gap distance, evaluated at contact surface faces"
contact penalty,Contact penalty value
contact pressure,"Contact pressure, evaluated at contact surface faces"
contact status,The nr. of integration points of the surface element that are considered in contact. 
contact stick,"Stick status in stick-slip frictional contact (1=stick, 0=slip). Values between 0 and 1 imply that a fraction of that face is in stick mode. Currently works only with sliding-tension-compression."
contact traction,"Contact traction vectors, evaluated at contact surface faces"
current density,"Electric current density"
current element angular momentum,The element's total angular momentum at the current configuration.
current element center of mass,The element's center of mass at the current configuration.
current element kinetic energy,The element's total kinetic energy at the current configuration.
current element linear momentum,The element's total linear momentum at the current configuration
current element strain energy,The element's total strain energy at the current configuration.
damage,Damage variable D
density,The current density
deviatoric elasticity,The deviatoric elasticity tensor of an uncoupled material
deviatoric strain energy density,Deviatoric strain energy density $\tilde{\Psi}\left(\mathbf{\tilde{C}}\right)$
deviatoric strong bond SED,Strain energy density of strong bonds in reactive viscoelastic material
deviatoric weak bond SED,Strain energy density of weak bonds in reactive viscoelastic material
dilatation gradient,gradient of J in biphasic-FSI
discrete element direction,Unit vector along direction of discrete element
discrete element percent elongation,ratio of change in length over original length
discrete element signed force,The dot product of the force and the element's direction vector. 
discrete element strain energy,strain energy of the discrete element's material
displacement,Nodal displacements
effective elasticity,The elasticity of the elastic material in a biphasic/triphasic/multiphasic material.
effective fluid pressure,"fluid pressure for biphasic, biphasic-solute, triphasic, and multiphasic materials."
effective shell fluid pressure,"fluid pressure for biphasic, biphasic-solute, triphasic, and multiphasic materials of shell domains."
effective shell solute concentration,"Effective solute concentration for biphasic-solute, triphasic, and multiphasic materials of shell domains."
effective solute concentration,"Effective solute concentration for biphasic-solute, triphasic, and multiphasic materials."
effective fluid pressure,"Fluid pressure p for biphasic materials, or $\tilde{p}$ for biphasic-solute"
effective friction coefficient,Effective friction coefficient at a biphasic contact interface
effective solute concentration,"Effective solute concentration $\tilde{c}$ for biphasic-solute materials"
elasticity,Spatial elasticity tensor components
electric potential,"Electric potential $\psi$ in triphasic/multiphasic materials"
element angular momentum,Element total angular momentum
element center of mass,Element center of mass
element kinetic energy,Element total kinetic energy
element linear momentum,Element total linear momentum
element strain energy,Element total strain energy
element stress power,Element total stress power
enclosed volume,Volume enclosed by named surface
enclosed volume change,Change in volume enclosed by named surface
Euler angle,Rigid body Euler angles
facet area,The area of the surface element in the deformed configuration.
fatigue bond fraction,fatigue bond fraction in a reactive-viscoelastic material
fiber stretch,Element's average fiber stretch
fiber vector,Material fiber vector
field,Output the nodal values of a field variable.
fixed charge density,"Fixed charge density $c^{F}$ in current configuration"
fluid acceleration,"Fluid acceleration (material time derivative of fluid velocity $\mathbf{v}^{f}$"
fluid body force,The element's average body force applied to the element. 
fluid bulk modulus,"The element's average bulk modulus, calculate from the pressure. "
fluid density,"Fluid density $\rho^{f}$ in fluid and fluid-FSI materials"
fluid density rate,The element's average fluid density rate.
fluid dilatation,"Fluid dilatation $e$"
fluid element angular momentum,Total angular momentum of fluid element
fluid element center of mass,Center of mass of fluid element
fluid element kinetic energy,Total kinetic energy of fluid element
fluid element linear momentum,Total linear momentum of fluid element
fluid element strain energy,Total strain energy of fluid element
fluid energy density,Average energy density of fluid element
fluid flow rate,"Volumetric fluid flow rate $Q=\int_{A}\mathbf{w}\cdot\mathbf{n}\,dA$ across a named surface (biphasic and multiphasic analyses)"
fluid flux,"Fluid flux $\mathbf{w}$ in biphasic, biphasic-solute, triphasic/multiphasic, fluid-FSI and biphasic-FSI materials."
fluid force,"Net fluid force across biphasic (sliding-biphasic), biphasic-solute (sliding-biphasic-solute) and multiphasic (sliding-multiphasic) contact interface. Evaluated by integrating the fluid pressure p over the contact surface."
